Folio,record_type,tipo,ramo,reinsurer,participation,reasegurado,asegurado,direccion,periodo_inicio,periodo_fin,actividad,estimado_ingresos ,interes_asegurable,limite_max_res ,riesgos_cubiertos,condiciones_reaseguro,exclusiones,deducible_General ,deducible_Robo ,deducible_Terremoto ,deducible_Electricos ,deducible_Ingresos ,prima_neta ,soporte,base_cobertura,territorialidad,jurisdiccion,dias_pago,anexos_clausulas,texto_clausulas,panel_participantes,moneda
NC/000001/2016/2017,Pre-nota de Cobertura,Reaseguro Facultativo,Transportes,"Mercury, Pisces",100,Aseguradora del Norte,Servicios Financieros Unión,"San Luis Potosí, San Luis Potosí",14/10/16 0:00,14/10/17 0:00,Operación de transporte terrestre,13575562,Daños materiales y pérdidas por cualquier causa,127380369,"Daños por choque, incendios, robos en vehículos","Gastos de defensa incluidos, texto LMA 6000A","Daños intencionales, guerra, actos delictivos",86237,98907,23478,93563,46062,4003402,100,Claims Made,México,Leyes mexicanas,26,"NMA 2737, Endorsement 5678, NMA 2962, LMA 3092, LMA 3100A, NMA 3001, Endorsement 1234, LMA 3105, NMA 464, NMA 2738, LMA 3110, NMA 2800","Cooperacion de reclamos, All Risks; Prevención de Robo; Control de Reclamos; Limitación de Sanciones; Protección Legal; Exclusión de Guerra y Guerra Civil; Ampliación de Cobertura Y; Exclusión de Daños por Agua; Control de Pérdidas; Cobertura Adicional X; Control de Daños","Mercury 55%, Pisces 45%",MXN
NC/000001/2016/2017,Soporte,Reaseguro Facultativo,Transportes,Mercury,55,Aseguradora del Norte,Servicios Financieros Unión,"San Luis Potosí, San Luis Potosí",14/10/16 0:00,14/10/17 0:00,Operación de transporte terrestre,13575562,Daños materiales y pérdidas por cualquier causa,127380369,"Daños por choque, incendios, robos en vehículos","Gastos de defensa incluidos, texto LMA 6000A","Daños intencionales, guerra, actos delictivos",86237,98907,23478,93563,46062,2201871,55,Claims Made,México,Leyes mexicanas,36,"NMA 2737, Endorsement 5678, NMA 2962, LMA 3092, LMA 3100A, NMA 3001, LMA 3105, NMA 464, NMA 2738, LMA 3110, NMA 2800, LMA 6000A","Cooperacion de reclamos, All Risks; Prevención de Robo; Control de Reclamos; Limitación de Sanciones; Protección Legal; Ampliación de Cobertura Y; Exclusión de Daños por Agua; Control de Pérdidas; Cobertura Adicional X; Control de Daños; Gastos de Defensa Incluidos","Mercury 55%, Pisces 45%",MXN
NC/000001/2016/2017,Soporte,Reaseguro Facultativo,Transportes,Pisces,45,Aseguradora del Norte,Servicios Financieros Unión,"San Luis Potosí, San Luis Potosí",14/10/16 0:00,14/10/17 0:00,Operación de transporte terrestre,13575562,Daños materiales y pérdidas por cualquier causa,127380369,"Daños por choque, incendios, robos en vehículos","Gastos de defensa incluidos, texto LMA 6000A","Daños intencionales, guerra, actos delictivos",86237,98907,23478,93563,46062,1801531,45,Claims Made,México,Leyes mexicanas,54,"NMA 2737, Endorsement 5678, NMA 2962, LMA 3092, LMA 3100A, NMA 3001, Endorsement 1234, LMA 3105, NMA 464, NMA 2738, LMA 3110, NMA 2800, LMA 6000A","Cooperacion de reclamos, All Risks; Prevención de Robo; Control de Reclamos; Limitación de Sanciones; Protección Legal; Exclusión de Guerra y Guerra Civil; Ampliación de Cobertura Y; Exclusión de Daños por Agua; Control de Pérdidas; Cobertura Adicional X; Control de Daños; Gastos de Defensa Incluidos","Mercury 55%, Pisces 45%",MXN
NC/000002/2024/2025,Pre-nota de Cobertura,Reaseguro Facultativo,Responsabilidad Civil,Andromeda,100,Aseguradora del Norte,"Tecnologías Avanzadas, S.A.","Tijuana, Baja California",23/04/24 0:00,23/04/25 0:00,Prestación de servicios,89753260,Daños materiales y pérdidas por cualquier causa,132351953,Reclamaciones por daños a terceros,"Gastos de defensa incluidos, texto LMA 6000A","Daños intencionales, guerra, actos delictivos",30458,50512,33238,69823,56434,4955124,100,Claims Made,México,Leyes mexicanas,30,"NMA 2737, LMA 3100A, Endorsement 1234, NMA 2800, NMA 2705, LMA 6000A, Endorsement 5678, NMA 2738","Cooperacion de reclamos, Limitación de Sanciones; Exclusión de Guerra y Guerra Civil; Control de Daños; Acción Razonable; Gastos de Defensa Incluidos; All Risks; Control de Pérdidas",Andromeda 100%,MXN
NC/000002/2024/2025,Soporte,Reaseguro Facultativo,Responsabilidad Civil,Andromeda,100,Aseguradora del Norte,"Tecnologías Avanzadas, S.A.","Tijuana, Baja California",23/04/24 0:00,23/04/25 0:00,Prestación de servicios,89753260,Daños materiales y pérdidas por cualquier causa,132351953,Reclamaciones por daños a terceros,"Gastos de defensa incluidos, texto LMA 6000A","Daños intencionales, guerra, actos delictivos",30458,50512,33238,69823,56434,4955124,100,Claims Made,México,Leyes mexicanas,54,"NMA 2737, LMA 3100A, Endorsement 1234, NMA 2800, NMA 2705, LMA 6000A, Endorsement 5678, NMA 2738","Cooperacion de reclamos, Limitación de Sanciones; Exclusión de Guerra y Guerra Civil; Control de Daños; Acción Razonable; Gastos de Defensa Incluidos; All Risks; Control de Pérdidas",Andromeda 100%,MXN
NC/000003/2018/2019,Pre-nota de Cobertura,Reaseguro Facultativo,Ramos Técnicos,"Saturn, UrsaMajor, Andromeda",100,Aseguradora del Norte,"Transporte Global, S.A.",Ciudad de México,26/01/18 0:00,26/01/19 0:00,Ingeniería y construcción,36935572,Daños materiales y pérdidas por cualquier causa,45534736,"Fallas mecánicas, derrumbes","Gastos de defensa incluidos, texto LMA 6000A","Daños intencionales, guerra, actos delictivos",94341,61245,47869,85435,71856,3639704,100,Claims Made,México,Leyes mexicanas,57,"NMA 2737, NMA 2705, NMA 464, Endorsement 9101, NMA 2962","Cooperacion de reclamos, Acción Razonable; Exclusión de Daños por Agua; Cláusula Complementaria; Prevención de Robo","Saturn 14%, UrsaMajor 49%, Andromeda 37%",MXN
NC/000003/2018/2019,Soporte,Reaseguro Facultativo,Ramos Técnicos,Saturn,14,Aseguradora del Norte,"Transporte Global, S.A.",Ciudad de México,26/01/18 0:00,26/01/19 0:00,Ingeniería y construcción,36935572,Daños materiales y pérdidas por cualquier causa,45534736,"Fallas mecánicas, derrumbes","Gastos de defensa incluidos, texto LMA 6000A","Daños intencionales, guerra, actos delictivos",94341,61245,47869,85435,71856,509559,14,Claims Made,México,Leyes mexicanas,47,"NMA 2737, NMA 2705, NMA 464, Endorsement 9101, NMA 2962","Cooperacion de reclamos, Acción Razonable; Exclusión de Daños por Agua; Cláusula Complementaria; Prevención de Robo","Saturn 14%, UrsaMajor 49%, Andromeda 37%",MXN
NC/000003/2018/2019,Soporte,Reaseguro Facultativo,Ramos Técnicos,UrsaMajor,49,Aseguradora del Norte,"Transporte Global, S.A.",Ciudad de México,26/01/18 0:00,26/01/19 0:00,Ingeniería y construcción,36935572,Daños materiales y pérdidas por cualquier causa,45534736,"Fallas mecánicas, derrumbes","Gastos de defensa incluidos, texto LMA 6000A","Daños intencionales, guerra, actos delictivos",94341,61245,47869,85435,71856,1783455,49,Claims Made,México,Leyes mexicanas,57,"NMA 2737, NMA 2705, NMA 464, Endorsement 9101, NMA 2962","Cooperacion de reclamos, Acción Razonable; Exclusión de Daños por Agua; Cláusula Complementaria; Prevención de Robo","Saturn 14%, UrsaMajor 49%, Andromeda 37%",MXN
NC/000003/2018/2019,Soporte,Reaseguro Facultativo,Ramos Técnicos,Andromeda,37,Aseguradora del Norte,"Transporte Global, S.A.",Ciudad de México,26/01/18 0:00,26/01/19 0:00,Ingeniería y construcción,36935572,Daños materiales y pérdidas por cualquier causa,45534736,"Fallas mecánicas, derrumbes","Gastos de defensa incluidos, texto LMA 6000A","Daños intencionales, guerra, actos delictivos",94341,61245,47869,85435,71856,1346690,37,Claims Made,México,Leyes mexicanas,45,"NMA 2737, NMA 2705, NMA 464, Endorsement 9101, NMA 2962","Cooperacion de reclamos, Acción Razonable; Exclusión de Daños por Agua; Cláusula Complementaria; Prevención de Robo","Saturn 14%, UrsaMajor 49%, Andromeda 37%",MXN
NC/000004/2017/2018,Pre-nota de Cobertura,Reaseguro Facultativo,Transportes,Jupiter,100,"Seguros Central, S.A.","Servicios Integrales del Valle, S.A. de C.V.","Monterrey, Nuevo León",14/11/17 0:00,14/11/18 0:00,Operación de transporte terrestre,52642594,Daños materiales y pérdidas por cualquier causa,214880292,"Daños por choque, incendios, robos en vehículos","Gastos de defensa incluidos, texto LMA 6000A","Daños intencionales, guerra, actos delictivos",89352,52953,92512,21504,35014,7952574,100,Claims Made,México,Leyes mexicanas,31,"NMA 2737, NMA 2738, Endorsement 5678, NMA 3001, LMA 3100A, LMA 3110, LMA 3092, NMA 2800","Cooperacion de reclamos, Control de Pérdidas; All Risks; Protección Legal; Limitación de Sanciones; Cobertura Adicional X; Control de Reclamos; Control de Daños",Jupiter 100%,MXN
